depth,14C age,Sigma 14C,calib,age,error
49,995,80,northern,894.5,114.94071353677907
118,2465,95,northern,2539.5,159.19682939002084
142,3080,95,northern,3268.5,164.9252997498352
152,3160,95,northern,3367.5,170.73241835673966
250,4045,90,northern,4544.5,185.1816276974523
281,6170,95,northern,7057.5,154.93030779617374
301,5895,95,northern,6722.5,163.7322328897343
314,5930,105,northern,6767.5,179.38257605575416
350,7350,110,northern,8162.5,149.07667684877433
361,7805,95,northern,8622.5,179.94378712289125
397,6050,100,northern,6912.5,170.14085114116045
